TIMESTAMP,SAMPLES_ECG1,SAMPLES_SAT,SAMPLES_ABP,RATE_ECG1,RATE_SAT,RATE_ABP
'2015-01-10T17:20:52.024',1.205,1.764,92.218,,,
'2015-01-10T17:20:52.032',1.211,1.768,93.878,,,
'2015-01-10T17:20:52.040',1.205,1.775,95.05,,,
'2015-01-10T17:20:52.048',1.2,1.784,96.223,,,
'2015-01-10T17:20:52.056',1.18,1.794,97.493,,,
'2015-01-10T17:20:52.064',1.14,1.804,98.763,,,
'2015-01-10T17:20:52.072',1.13,1.815,99.739,,,
'2015-01-10T17:20:52.080',1.101,1.825,100.228,,,
'2015-01-10T17:20:52.088',1.09,1.895,100.179,,,
'2015-01-10T17:20:52.096',1.061,1.993,99.495,,,
'2015-01-10T17:20:52.104',1.03,2.044,98.225,,,
'2015-01-10T17:20:52.112',1.025,2.072,96.613,,,
'2015-01-10T17:20:52.120',0.99,2.089,94.66,,,
'2015-01-10T17:20:52.128',0.98,2.1,92.511,,,
'2015-01-10T17:20:52.136',0.985,2.109,90.068,,,
'2015-01-10T17:20:52.144',0.96,2.116,87.382,,,
'2015-01-10T17:20:52.152',0.945,2.123,84.305,,,
'2015-01-10T17:20:52.160',0.945,2.129,80.935,,,
'2015-01-10T17:20:52.168',0.925,2.134,77.222,,,
'2015-01-10T17:20:52.176',0.93,2.14,73.315,,,
'2015-01-10T17:20:52.184',0.92,2.147,69.261,,,
'2015-01-10T17:20:52.192',0.915,2.152,65.402,,,
'2015-01-10T17:20:52.200',0.905,2.158,61.983,,,
'2015-01-10T17:20:52.208',0.91,2.164,59.345,,,
'2015-01-10T17:20:52.216',0.915,2.168,57.587,,,
'2015-01-10T17:20:52.224',0.905,2.171,56.757,,,
'2015-01-10T17:20:52.232',0.905,2.173,56.415,,,
'2015-01-10T17:20:52.240',0.925,2.174,56.561,,,
'2015-01-10T17:20:52.248',0.93,2.175,56.806,,,
'2015-01-10T17:20:52.256',0.905,2.175,57.099,,,
'2015-01-10T17:20:52.264',0.92,2.175,57.294,,,
'2015-01-10T17:20:52.272',0.93,2.175,57.489,,,
'2015-01-10T17:20:52.280',0.94,2.176,57.538,,,
'2015-01-10T17:20:52.288',0.96,2.178,57.538,,,
'2015-01-10T17:20:52.296',0.965,2.181,57.538,,,
'2015-01-10T17:20:52.304',0.99,2.186,57.489,,,
'2015-01-10T17:20:52.312',1.01,2.191,57.489,,,
'2015-01-10T17:20:52.320',1.005,2.196,57.343,,,
'2015-01-10T17:20:52.328',1.021,2.202,57.245,,,
'2015-01-10T17:20:52.336',1.005,2.207,57.001,,,
'2015-01-10T17:20:52.344',0.996,2.212,56.757,,,
'2015-01-10T17:20:52.352',1.015,2.216,56.415,,,
'2015-01-10T17:20:52.360',1.035,2.22,56.122,,,
'2015-01-10T17:20:52.368',1,2.223,55.731,,,
'2015-01-10T17:20:52.376',0.92,2.225,55.291,,,
'2015-01-10T17:20:52.384',0.885,2.227,54.803,,,
'2015-01-10T17:20:52.392',0.87,2.23,54.217,,,
'2015-01-10T17:20:52.400',0.855,2.232,53.728,,,
'2015-01-10T17:20:52.408',0.845,2.234,53.191,,,
'2015-01-10T17:20:52.416',0.835,2.236,52.654,,,
'2015-01-10T17:20:52.424',0.825,2.237,52.165,,,
'2015-01-10T17:20:52.432',0.83,2.236,51.53,,,
'2015-01-10T17:20:52.440',0.835,2.235,50.944,,,
'2015-01-10T17:20:52.448',0.825,2.233,50.212,,,
'2015-01-10T17:20:52.456',0.83,2.23,49.479,,,
'2015-01-10T17:20:52.464',0.825,2.226,48.697,,,
'2015-01-10T17:20:52.472',0.83,2.222,47.867,,,
'2015-01-10T17:20:52.480',0.835,2.218,47.134,,,
'2015-01-10T17:20:52.488',0.77,2.214,46.548,,,
'2015-01-10T17:20:52.496',1.05,2.21,46.353,,,
'2015-01-10T17:20:52.504',1.501,2.206,46.402,,,
'2015-01-10T17:20:52.512',1.501,2.202,46.597,,,
'2015-01-10T17:20:52.520',1.501,2.198,46.793,,,
'2015-01-10T17:20:52.528',1.501,2.195,46.939,,,
'2015-01-10T17:20:52.536',0.86,2.191,46.939,,,
'2015-01-10T17:20:52.544',0.655,2.188,46.744,,,
'2015-01-10T17:20:52.552',0.625,2.185,46.353,,,
'2015-01-10T17:20:52.560',0.625,2.182,45.865,,,
'2015-01-10T17:20:52.568',0.63,2.179,45.278,,,
'2015-01-10T17:20:52.576',0.635,2.175,44.79,,,
'2015-01-10T17:20:52.584',0.65,2.172,44.35,,,
'2015-01-10T17:20:52.592',0.64,2.169,43.911,,,
'2015-01-10T17:20:52.600',0.655,2.166,43.667,,,
'2015-01-10T17:20:52.608',0.66,2.162,43.422,,,
'2015-01-10T17:20:52.616',0.655,2.158,43.227,,,
'2015-01-10T17:20:52.624',0.665,2.154,43.032,,,
'2015-01-10T17:20:52.632',0.67,2.15,42.836,,,
'2015-01-10T17:20:52.640',0.675,2.145,42.69,,,
'2015-01-10T17:20:52.648',0.68,2.139,42.543,,,
'2015-01-10T17:20:52.656',0.67,2.134,42.299,,,
'2015-01-10T17:20:52.664',0.66,2.13,41.908,,,
'2015-01-10T17:20:52.672',0.67,2.126,41.42,,,
'2015-01-10T17:20:52.680',0.68,2.122,40.736,,,
'2015-01-10T17:20:52.688',0.685,2.118,40.052,,,
'2015-01-10T17:20:52.696',0.67,2.115,39.319,,,
'2015-01-10T17:20:52.704',0.67,2.111,38.684,,,
'2015-01-10T17:20:52.712',0.675,2.108,38.196,,,
'2015-01-10T17:20:52.720',0.67,2.103,37.854,,,
'2015-01-10T17:20:52.728',0.69,2.098,38.001,,,
'2015-01-10T17:20:52.736',0.7,2.092,39.124,,,
'2015-01-10T17:20:52.744',0.71,2.087,42.104,,,
'2015-01-10T17:20:52.752',0.725,2.082,47.867,,,
'2015-01-10T17:20:52.760',0.76,2.079,56.415,,,
'2015-01-10T17:20:52.768',0.785,2.077,66.916,,,
'2015-01-10T17:20:52.776',0.815,2.076,77.662,,,
'2015-01-10T17:20:52.784',0.865,2.075,87.235,,,
'2015-01-10T17:20:52.792',0.915,2.075,94.806,,,
'2015-01-10T17:20:52.800',0.95,2.075,100.423,,,
'2015-01-10T17:20:52.808',0.976,2.076,104.624,,,
'2015-01-10T17:20:52.816',1.005,2.076,108.092,,,
'2015-01-10T17:20:52.824',1.021,2.076,111.511,,,
'2015-01-10T17:20:52.832',1.005,2.076,114.881,,,
'2015-01-10T17:20:52.840',0.976,2.076,118.251,,,
'2015-01-10T17:20:52.848',0.956,2.075,121.231,,,
'2015-01-10T17:20:52.856',0.91,2.073,123.624,,,
'2015-01-10T17:20:52.864',0.895,2.071,125.187,,,
'2015-01-10T17:20:52.872',0.875,2.069,126.066,,,
'2015-01-10T17:20:52.880',0.885,2.067,126.311,,,
'2015-01-10T17:20:52.888',0.87,2.065,125.969,,,
'2015-01-10T17:20:52.896',0.88,2.065,125.383,,,
'2015-01-10T17:20:52.904',0.845,2.063,124.357,,,
'2015-01-10T17:20:52.912',0.835,2.062,123.038,,,
'2015-01-10T17:20:52.920',0.855,2.063,121.377,,,
'2015-01-10T17:20:52.928',0.86,2.063,119.375,,,
'2015-01-10T17:20:52.936',0.835,2.063,117.177,,,
'2015-01-10T17:20:52.944',0.835,2.063,114.735,,,
'2015-01-10T17:20:52.952',0.85,2.063,112.244,,,
'2015-01-10T17:20:52.960',0.88,2.064,109.557,,,
'2015-01-10T17:20:52.968',0.87,2.064,106.871,,,
'2015-01-10T17:20:52.976',0.925,2.064,104.184,,,
'2015-01-10T17:20:52.984',0.945,2.064,101.449,,,
'2015-01-10T17:20:52.992',0.98,2.064,98.567,,,
'2015-01-10T17:20:53.000',1.041,2.063,95.49,,,
'2015-01-10T17:20:53.008',1.045,2.062,92.315,,,
'2015-01-10T17:20:53.016',1.015,2.06,88.847,,,
'2015-01-10T17:20:53.024',1.12,2.059,85.037,,,
'2015-01-10T17:20:53.032',1.18,2.058,80.983,,,
'2015-01-10T17:20:53.040',1.251,2.058,76.929,,,
'2015-01-10T17:20:53.048',1.456,2.059,72.973,,,
'2015-01-10T17:20:53.056',1.501,2.06,69.505,,,
'2015-01-10T17:20:53.064',1.501,2.062,66.672,,,
'2015-01-10T17:20:53.072',1.501,2.065,64.669,,,
'2015-01-10T17:20:53.080',1.501,2.068,63.497,,,
'2015-01-10T17:20:53.088',1.501,2.072,62.911,,,
'2015-01-10T17:20:53.096',1.501,2.075,62.813,,,
'2015-01-10T17:20:53.104',1.501,2.077,62.862,,,
'2015-01-10T17:20:53.112',1.501,2.08,62.911,,,
'2015-01-10T17:20:53.120',1.501,2.083,63.058,,,
'2015-01-10T17:20:53.128',1.18,2.086,63.106,,,
'2015-01-10T17:20:53.136',0.545,2.088,63.253,,,
'2015-01-10T17:20:53.144',0.375,2.091,63.351,,,
'2015-01-10T17:20:53.152',0.285,2.094,63.351,,,
'2015-01-10T17:20:53.160',0.265,2.097,63.253,,,
'2015-01-10T17:20:53.168',0.18,2.101,63.058,,,
'2015-01-10T17:20:53.176',0.135,2.105,62.716,,,
'2015-01-10T17:20:53.184',0.325,2.109,62.276,,,
'2015-01-10T17:20:53.192',0.33,2.112,61.739,,,
'2015-01-10T17:20:53.200',0.065,2.116,61.055,,,
'2015-01-10T17:20:53.208',0.145,2.119,60.225,,,
'2015-01-10T17:20:53.216',0.15,2.121,59.345,,,
'2015-01-10T17:20:53.224',0.109,2.123,58.417,,,
'2015-01-10T17:20:53.232',0.13,2.124,57.538,,,
'2015-01-10T17:20:53.240',0.21,2.124,56.903,,,
'2015-01-10T17:20:53.248',0.3,2.123,56.415,,,
'2015-01-10T17:20:53.256',0.345,2.122,55.975,,,
'2015-01-10T17:20:53.264',0.23,2.12,55.536,,,
'2015-01-10T17:20:53.272',0.265,2.117,55.096,,,
'2015-01-10T17:20:53.280',-0.01,2.114,54.656,,,
'2015-01-10T17:20:53.288',-0.14,2.11,54.217,,,
'2015-01-10T17:20:53.296',-0.12,2.105,53.68,,,
'2015-01-10T17:20:53.304',-0.16,2.099,52.947,,,
'2015-01-10T17:20:53.312',-0.106,2.092,52.068,,,
'2015-01-10T17:20:53.320',-0.33,2.084,51.237,,,
'2015-01-10T17:20:53.328',0.04,2.075,51.091,,,
'2015-01-10T17:20:53.336',0.105,2.066,52.556,,,
'2015-01-10T17:20:53.344',-0.5,2.057,56.366,,,
'2015-01-10T17:20:53.352',-0.5,2.048,62.813,,,
'2015-01-10T17:20:53.360',-0.5,2.04,71.41,,,
'2015-01-10T17:20:53.368',-0.285,2.031,80.739,,,
'2015-01-10T17:20:53.376',0.18,2.022,89.238,,,
'2015-01-10T17:20:53.384',0.095,2.015,95.979,,,
'2015-01-10T17:20:53.392',0.044,2.007,100.814,,,
'2015-01-10T17:20:53.400',0.335,1.999,104.038,,,
'2015-01-10T17:20:53.408',0.665,1.991,106.48,,,
'2015-01-10T17:20:53.416',0.785,1.984,108.678,,,
'2015-01-10T17:20:53.424',0.81,1.978,110.632,,,
'2015-01-10T17:20:53.432',0.775,1.971,111.853,,,
'2015-01-10T17:20:53.440',0.825,1.963,112.048,,,
'2015-01-10T17:20:53.448',0.91,1.955,111.364,,,
'2015-01-10T17:20:53.456',0.94,1.948,110.436,,,
'2015-01-10T17:20:53.464',0.925,1.942,110.192,,,
'2015-01-10T17:20:53.472',0.95,1.934,110.827,,,
'2015-01-10T17:20:53.480',0.84,1.923,112.439,,,
'2015-01-10T17:20:53.488',0.745,1.909,114.49,,,
'2015-01-10T17:20:53.496',0.78,1.893,116.053,,,
'2015-01-10T17:20:53.504',0.83,1.876,116.2,,,
'2015-01-10T17:20:53.512',0.86,1.854,114.686,,,
'2015-01-10T17:20:53.520',0.905,1.831,111.609,,,
'2015-01-10T17:20:53.528',0.945,1.803,107.31,,,
'2015-01-10T17:20:53.536',0.95,1.77,102.475,,,
'2015-01-10T17:20:53.544',0.96,1.734,98.128,,,
'2015-01-10T17:20:53.552',0.956,1.7,94.562,,,
'2015-01-10T17:20:53.560',0.97,1.666,91.192,,,
'2015-01-10T17:20:53.568',0.99,1.623,87.284,,,
'2015-01-10T17:20:53.576',0.965,1.573,82.742,,,
'2015-01-10T17:20:53.584',0.95,1.519,77.467,,,
'2015-01-10T17:20:53.592',0.95,1.463,72.387,,,
'2015-01-10T17:20:53.600',0.96,1.406,68.089,,,
'2015-01-10T17:20:53.608',0.976,1.348,65.598,,,
'2015-01-10T17:20:53.616',0.945,1.292,64.718,,,
'2015-01-10T17:20:53.624',0.915,1.239,64.914,,,
'2015-01-10T17:20:53.632',0.93,1.188,65.598,,,
'2015-01-10T17:20:53.640',0.935,1.14,66.135,,,
'2015-01-10T17:20:53.648',0.895,1.096,66.037,,,
'2015-01-10T17:20:53.656',1.005,1.065,65.5,,,
'2015-01-10T17:20:53.664',1.501,1.041,64.669,,,
'2015-01-10T17:20:53.672',1.501,1.016,63.839,,,
'2015-01-10T17:20:53.680',1.501,0.993,63.253,,,
'2015-01-10T17:20:53.688',1.501,0.976,62.667,,,
'2015-01-10T17:20:53.696',1.216,0.964,62.13,,,
'2015-01-10T17:20:53.704',0.82,0.959,61.348,,,
'2015-01-10T17:20:53.712',0.72,0.962,60.42,,,
'2015-01-10T17:20:53.720',0.67,0.974,59.15,,,
'2015-01-10T17:20:53.728',0.64,0.992,57.489,,,
'2015-01-10T17:20:53.736',0.625,1.018,55.78,,,
'2015-01-10T17:20:53.744',0.615,1.05,54.51,,,
'2015-01-10T17:20:53.752',0.6,1.086,53.484,,,
'2015-01-10T17:20:53.760',0.6,1.125,52.507,,,
'2015-01-10T17:20:53.768',0.595,1.168,51.677,,,
'2015-01-10T17:20:53.776',0.6,1.215,51.237,,,
'2015-01-10T17:20:53.784',0.625,1.265,51.091,,,
'2015-01-10T17:20:53.792',0.63,1.318,51.042,,,
'2015-01-10T17:20:53.800',0.59,1.371,50.944,,,
'2015-01-10T17:20:53.808',0.605,1.423,50.602,,,
'2015-01-10T17:20:53.816',0.62,1.472,50.212,,,
'2015-01-10T17:20:53.824',0.635,1.516,49.87,,,
'2015-01-10T17:20:53.832',0.65,1.555,49.43,,,
'2015-01-10T17:20:53.840',0.66,1.589,49.039,,,
'2015-01-10T17:20:53.848',0.67,1.619,48.746,,,
'2015-01-10T17:20:53.856',0.67,1.643,48.356,,,
'2015-01-10T17:20:53.864',0.68,1.667,47.867,,,
'2015-01-10T17:20:53.872',0.7,1.692,47.379,,,
'2015-01-10T17:20:53.880',0.695,1.72,46.793,,,
'2015-01-10T17:20:53.888',0.71,1.753,46.304,,,
'2015-01-10T17:20:53.896',0.73,1.789,46.255,,,
'2015-01-10T17:20:53.904',0.76,1.828,47.379,,,
'2015-01-10T17:20:53.912',0.81,1.869,50.505,,,
'2015-01-10T17:20:53.920',0.84,1.913,56.317,,,
'2015-01-10T17:20:53.928',0.891,1.959,64.669,,,
'2015-01-10T17:20:53.936',0.945,2.006,74.438,,,
'2015-01-10T17:20:53.944',0.985,2.054,83.914,,,
'2015-01-10T17:20:53.952',1.035,2.097,91.876,,,
'2015-01-10T17:20:53.960',1.086,2.137,97.59,,,
'2015-01-10T17:20:53.968',1.135,2.182,101.449,,,
'2015-01-10T17:20:53.976',1.106,2.228,103.94,,,
'2015-01-10T17:20:53.984',1.055,2.273,105.796,,,
'2015-01-10T17:20:53.992',1.021,2.317,107.506,,,
'2015-01-10T17:20:54.000',0.95,2.358,109.166,,,
'2015-01-10T17:20:54.008',0.92,2.397,110.681,,,
'2015-01-10T17:20:54.016',0.9,2.433,111.804,,,
'2015-01-10T17:20:54.024',0.85,2.466,112.39,,,
'2015-01-10T17:20:54.032',0.825,2.497,112.244,,,
'2015-01-10T17:20:54.040',0.815,2.524,111.511,,,
'2015-01-10T17:20:54.048',0.83,2.548,110.387,,,
'2015-01-10T17:20:54.056',0.795,2.567,108.922,,,
'2015-01-10T17:20:54.064',0.775,2.58,107.31,,,
'2015-01-10T17:20:54.072',0.78,2.593,105.601,,,
'2015-01-10T17:20:54.080',0.77,2.605,103.94,,,
'2015-01-10T17:20:54.088',0.785,2.615,102.182,,,
'2015-01-10T17:20:54.096',0.775,2.622,100.326,,,
'2015-01-10T17:20:54.104',0.77,2.627,98.225,,,
'2015-01-10T17:20:54.112',0.765,2.629,95.979,,,
'2015-01-10T17:20:54.120',0.78,2.629,93.487,,,
'2015-01-10T17:20:54.128',0.77,2.627,90.752,,,
'2015-01-10T17:20:54.136',0.79,2.577,87.822,,,
'2015-01-10T17:20:54.144',0.79,2.503,84.598,,,
'2015-01-10T17:20:54.152',0.825,2.464,81.276,,,
'2015-01-10T17:20:54.160',0.835,2.442,77.809,,,
'2015-01-10T17:20:54.168',0.85,2.428,74.292,,,
'2015-01-10T17:20:54.176',0.855,2.419,70.97,,,
'2015-01-10T17:20:54.184',0.85,2.413,68.04,,,
'2015-01-10T17:20:54.192',0.84,2.407,65.598,,,
'2015-01-10T17:20:54.200',0.845,2.401,63.741,,,
'2015-01-10T17:20:54.208',0.84,2.396,62.227,,,
'2015-01-10T17:20:54.216',0.86,2.391,61.104,,,
'2015-01-10T17:20:54.224',0.88,2.386,60.225,,,
'2015-01-10T17:20:54.232',0.9,2.382,59.492,,,
'2015-01-10T17:20:54.240',0.885,2.378,58.808,,,
'2015-01-10T17:20:54.248',1.015,2.374,58.124,,,
'2015-01-10T17:20:54.256',1.501,2.37,57.343,,,
'2015-01-10T17:20:54.264',1.501,2.368,56.659,,,
'2015-01-10T17:20:54.272',1.501,2.365,55.975,,,
'2015-01-10T17:20:54.280',1.501,2.363,55.34,,,
'2015-01-10T17:20:54.288',1.291,2.361,54.754,,,
'2015-01-10T17:20:54.296',0.855,2.358,54.315,,,
'2015-01-10T17:20:54.304',0.695,2.356,53.924,,,
'2015-01-10T17:20:54.312',0.595,2.355,53.68,,,
'2015-01-10T17:20:54.320',0.585,2.354,53.435,,,
'2015-01-10T17:20:54.328',0.58,2.353,53.093,,,
'2015-01-10T17:20:54.336',0.585,2.352,52.8,,,
'2015-01-10T17:20:54.344',0.585,2.351,52.41,,,
'2015-01-10T17:20:54.352',0.595,2.35,51.921,,,
'2015-01-10T17:20:54.360',0.58,2.348,51.482,,,
'2015-01-10T17:20:54.368',0.585,2.347,51.042,,,
'2015-01-10T17:20:54.376',0.585,2.346,50.602,,,
'2015-01-10T17:20:54.384',0.575,2.345,50.163,,,
'2015-01-10T17:20:54.392',0.575,2.344,49.674,,,
'2015-01-10T17:20:54.400',0.58,2.342,49.235,,,
'2015-01-10T17:20:54.408',0.555,2.341,48.746,,,
'2015-01-10T17:20:54.416',0.55,2.339,48.307,,,
'2015-01-10T17:20:54.424',0.55,2.338,47.916,,,
'2015-01-10T17:20:54.432',0.55,2.336,47.525,,,
'2015-01-10T17:20:54.440',0.53,2.334,47.183,,,
'2015-01-10T17:20:54.448',0.53,2.332,46.744,,,
'2015-01-10T17:20:54.456',0.52,2.329,46.158,,,
'2015-01-10T17:20:54.464',0.505,2.326,45.62,,,
'2015-01-10T17:20:54.472',0.495,2.323,45.034,,,
'2015-01-10T17:20:54.480',0.495,2.319,44.79,,,
'2015-01-10T17:20:54.488',0.51,2.314,45.181,,,
'2015-01-10T17:20:54.496',0.53,2.31,46.744,,,
'2015-01-10T17:20:54.504',0.525,2.305,50.309,,,
'2015-01-10T17:20:54.512',0.555,2.3,56.219,,,
'2015-01-10T17:20:54.520',0.605,2.296,64.279,,,
'2015-01-10T17:20:54.528',0.645,2.291,73.364,,,
'2015-01-10T17:20:54.536',0.7,2.286,82.058,,,
'2015-01-10T17:20:54.544',0.76,2.282,89.287,,,
'2015-01-10T17:20:54.552',0.815,2.278,94.855,,,
'2015-01-10T17:20:54.560',0.865,2.274,98.909,,,
'2015-01-10T17:20:54.568',0.905,2.269,101.937,,,
'2015-01-10T17:20:54.576',0.905,2.264,104.477,,,
'2015-01-10T17:20:54.584',0.9,2.26,106.822,,,
'2015-01-10T17:20:54.592',0.885,2.256,109.069,,,
'2015-01-10T17:20:54.600',0.875,2.253,111.12,,,
'2015-01-10T17:20:54.608',0.86,2.249,112.879,,,
'2015-01-10T17:20:54.616',0.86,2.246,114.1,,,
'2015-01-10T17:20:54.624',0.85,2.243,114.881,,,
'2015-01-10T17:20:54.632',0.83,2.24,115.125,,,
'2015-01-10T17:20:54.640',0.805,2.238,114.881,,,
'2015-01-10T17:20:54.648',0.795,2.235,114.295,,,
'2015-01-10T17:20:54.656',0.79,2.232,113.514,,,
'2015-01-10T17:20:54.664',0.785,2.23,112.488,,,
'2015-01-10T17:20:54.672',0.8,2.227,111.218,,,
'2015-01-10T17:20:54.680',0.835,2.224,109.85,,,
'2015-01-10T17:20:54.688',0.855,2.221,108.385,,,
'2015-01-10T17:20:54.696',0.875,2.218,106.627,,,
'2015-01-10T17:20:54.704',0.88,2.215,104.673,,,
'2015-01-10T17:20:54.712',0.855,2.213,102.621,,,
'2015-01-10T17:20:54.720',0.845,2.211,100.423,,,
'2015-01-10T17:20:54.728',0.845,2.209,98.176,,,
'2015-01-10T17:20:54.736',0.85,2.207,95.881,,,
'2015-01-10T17:20:54.744',0.85,2.205,93.292,,,
'2015-01-10T17:20:54.752',0.85,2.203,90.508,,,
'2015-01-10T17:20:54.760',0.85,2.201,87.235,,,
'2015-01-10T17:20:54.768',0.85,2.199,83.67,,,
'2015-01-10T17:20:54.776',0.85,2.196,79.811,,,
'2015-01-10T17:20:54.784',0.84,2.195,75.806,,,
'2015-01-10T17:20:54.792',0.76,2.193,71.947,,,
'2015-01-10T17:20:54.800',0.755,2.192,68.528,,,
'2015-01-10T17:20:54.808',1.501,2.191,65.939,,,
'2015-01-10T17:20:54.816',1.501,2.192,63.986,,,
'2015-01-10T17:20:54.824',1.501,2.193,62.716,,,
'2015-01-10T17:20:54.832',1.501,2.195,62.032,,,
'2015-01-10T17:20:54.840',1.055,2.196,61.543,,,
'2015-01-10T17:20:54.848',0.775,2.198,61.104,,,
'2015-01-10T17:20:54.856',0.7,2.2,60.664,,,
'2015-01-10T17:20:54.864',0.67,2.202,60.225,,,
'2015-01-10T17:20:54.872',0.66,2.205,59.687,,,
'2015-01-10T17:20:54.880',0.65,2.209,59.15,,,
'2015-01-10T17:20:54.888',0.66,2.213,58.613,,,
'2015-01-10T17:20:54.896',0.66,2.217,58.124,,,
'2015-01-10T17:20:54.904',0.66,2.221,57.685,,,
'2015-01-10T17:20:54.912',0.66,2.224,57.196,,,
'2015-01-10T17:20:54.920',0.66,2.228,56.659,,,
'2015-01-10T17:20:54.928',0.66,2.232,56.171,,,
'2015-01-10T17:20:54.936',0.655,2.235,55.536,,,
'2015-01-10T17:20:54.944',0.65,2.237,54.901,,,
'2015-01-10T17:20:54.952',0.65,2.238,54.217,,,
'2015-01-10T17:20:54.960',0.65,2.239,53.631,,,
'2015-01-10T17:20:54.968',0.65,2.239,52.947,,,
'2015-01-10T17:20:54.976',0.65,2.24,52.361,,,
'2015-01-10T17:20:54.984',0.65,2.241,51.775,,,
'2015-01-10T17:20:54.992',0.655,2.242,51.237,,,
'2015-01-10T17:20:55.000',0.65,2.243,50.749,,,
'2015-01-10T17:20:55.008',0.65,2.244,50.163,,,
'2015-01-10T17:20:55.016',0.65,2.244,49.528,,,
'2015-01-10T17:20:55.024',0.655,2.244,48.942,,,
'2015-01-10T17:20:55.032',0.665,2.243,48.404,,,
'2015-01-10T17:20:55.040',0.685,2.242,48.356,,,
'2015-01-10T17:20:55.048',0.715,2.24,49.381,,,
'2015-01-10T17:20:55.056',0.735,2.239,52.165,,,
'2015-01-10T17:20:55.064',0.77,2.236,57.343,,,
'2015-01-10T17:20:55.072',0.815,2.233,64.669,,,
'2015-01-10T17:20:55.080',0.855,2.23,73.364,,,
'2015-01-10T17:20:55.088',0.9,2.227,81.911,,,
'2015-01-10T17:20:55.096',0.94,2.223,89.189,,,
'2015-01-10T17:20:55.104',0.985,2.22,94.611,,,
'2015-01-10T17:20:55.112',1.01,2.217,98.225,,,
'2015-01-10T17:20:55.120',1,2.215,100.619,,,
'2015-01-10T17:20:55.128',0.98,2.213,102.475,,,
'2015-01-10T17:20:55.136',0.95,2.211,104.282,,,
'2015-01-10T17:20:55.144',0.925,2.209,106.187,,,
'2015-01-10T17:20:55.152',0.9,2.206,107.945,,,
'2015-01-10T17:20:55.160',0.885,2.204,109.264,,,
'2015-01-10T17:20:55.168',0.87,2.201,110.046,,,
'2015-01-10T17:20:55.176',0.865,2.198,110.29,,,
'2015-01-10T17:20:55.184',0.87,2.196,110.046,,,
'2015-01-10T17:20:55.192',0.86,2.194,109.508,,,
'2015-01-10T17:20:55.200',0.855,2.192,108.824,,,
'2015-01-10T17:20:55.208',0.86,2.189,107.945,,,
'2015-01-10T17:20:55.216',0.865,2.187,106.92,,,
'2015-01-10T17:20:55.224',0.86,2.184,105.796,,,
'2015-01-10T17:20:55.232',0.855,2.181,104.477,,,
'2015-01-10T17:20:55.240',0.86,2.178,102.866,,,
'2015-01-10T17:20:55.248',0.865,2.175,100.912,,,
'2015-01-10T17:20:55.256',0.865,2.173,98.763,,,
'2015-01-10T17:20:55.264',0.875,2.171,96.223,,,
'2015-01-10T17:20:55.272',0.88,2.17,93.634,,,
'2015-01-10T17:20:55.280',0.885,2.168,90.801,,,
'2015-01-10T17:20:55.288',0.885,2.167,87.822,,,
'2015-01-10T17:20:55.296',0.885,2.165,84.5,,,
'2015-01-10T17:20:55.304',0.895,2.163,80.983,,,
'2015-01-10T17:20:55.312',0.891,2.161,77.369,,,
'2015-01-10T17:20:55.320',0.885,2.159,73.608,,,
'2015-01-10T17:20:55.328',0.891,2.157,70.091,,,
'2015-01-10T17:20:55.336',0.885,2.156,66.965,,,
'2015-01-10T17:20:55.344',0.885,2.155,64.474,,,
'2015-01-10T17:20:55.352',0.885,2.155,62.667,,,
'2015-01-10T17:20:55.360',0.895,2.155,61.348,,,
'2015-01-10T17:20:55.368',0.905,2.156,60.42,,,
'2015-01-10T17:20:55.376',0.895,2.158,59.687,,,
'2015-01-10T17:20:55.384',0.895,2.161,59.004,,,
'2015-01-10T17:20:55.392',0.895,2.164,58.32,,,
'2015-01-10T17:20:55.400',0.9,2.168,57.587,,,
'2015-01-10T17:20:55.408',0.905,2.172,56.854,,,
'2015-01-10T17:20:55.416',0.885,2.175,56.219,,,
'2015-01-10T17:20:55.424',0.891,2.179,55.633,,,
'2015-01-10T17:20:55.432',0.885,2.183,55.096,,,
'2015-01-10T17:20:55.440',0.875,2.187,54.608,,,
'2015-01-10T17:20:55.448',0.88,2.19,54.168,,,
'2015-01-10T17:20:55.456',0.885,2.193,53.728,,,
'2015-01-10T17:20:55.464',0.88,2.196,53.24,,,
'2015-01-10T17:20:55.472',0.88,2.198,52.8,,,
'2015-01-10T17:20:55.480',0.885,2.201,52.312,,,
'2015-01-10T17:20:55.488',0.875,2.204,51.872,,,
'2015-01-10T17:20:55.496',0.87,2.206,51.384,,,
'2015-01-10T17:20:55.504',0.885,2.208,50.944,,,
'2015-01-10T17:20:55.512',0.895,2.21,50.505,,,
'2015-01-10T17:20:55.520',0.915,2.212,50.065,,,
'2015-01-10T17:20:55.528',0.945,2.213,49.528,,,
'2015-01-10T17:20:55.536',0.956,2.214,49.088,,,
'2015-01-10T17:20:55.544',0.956,2.215,48.551,,,
'2015-01-10T17:20:55.552',0.956,2.216,47.965,,,
'2015-01-10T17:20:55.560',0.965,2.216,47.428,,,
'2015-01-10T17:20:55.568',0.96,2.216,46.841,,,
'2015-01-10T17:20:55.576',1.005,2.216,46.304,,,
'2015-01-10T17:20:55.584',1.021,2.215,45.816,,,
'2015-01-10T17:20:55.592',0.956,2.214,45.278,,,
'2015-01-10T17:20:55.600',0.905,2.212,44.79,,,
'2015-01-10T17:20:55.608',0.9,2.209,44.35,,,
